Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,8.650000,8.750000,8.630000,8.750000,6.605723,5716500
2020-01-03,8.790000,8.810000,8.690000,8.750000,6.605723,6452400
2020-01-06,8.770000,8.770000,8.620000,8.650000,6.530228,4537900
2020-01-07,8.650000,8.700000,8.640000,8.650000,6.530228,6513100
2020-01-08,8.620000,8.640000,8.520000,8.540000,6.447185,4732900
2020-01-09,8.590000,8.660000,8.570000,8.650000,6.530228,7231600
2020-01-10,8.650000,8.690000,8.630000,8.650000,6.530228,8110500
2020-01-13,8.660000,8.690000,8.640000,8.650000,6.530228,6456900
2020-01-14,8.650000,8.680000,8.580000,8.650000,6.530228,6869000
2020-01-15,8.650000,8.670000,8.580000,8.600000,6.492482,3523000
2020-01-16,8.600000,8.640000,8.570000,8.610000,6.500031,6331700
2020-01-17,8.630000,8.660000,8.600000,8.620000,6.507580,5506200
2020-01-20,8.620000,8.630000,8.600000,8.600000,6.492482,4212700
2020-01-21,8.620000,8.620000,8.590000,8.600000,6.492482,3875900
2020-01-22,8.600000,8.620000,8.530000,8.550000,6.454735,5624600
2020-01-23,8.550000,8.550000,8.490000,8.510000,6.424537,5802400
2020-01-24,8.510000,8.560000,8.510000,8.530000,6.439635,2740700
2020-01-28,8.500000,8.510000,8.450000,8.460000,6.386790,12736400
2020-01-29,8.470000,8.490000,8.450000,8.450000,6.379240,9535400
2020-01-30,8.470000,8.500000,8.440000,8.490000,6.409438,6858300
2020-01-31,8.460000,8.490000,8.430000,8.430000,6.364142,16259500
2020-02-03,8.400000,8.430000,8.360000,8.360000,6.311296,7053100
2020-02-04,8.420000,8.450000,8.390000,8.400000,6.341494,10386900
2020-02-05,8.430000,8.430000,8.350000,8.360000,6.311296,9715000
2020-02-06,8.390000,8.500000,8.380000,8.450000,6.379240,6801600
2020-02-07,8.490000,8.520000,8.450000,8.510000,6.424537,9304800
2020-02-10,8.510000,8.520000,8.450000,8.480000,6.401889,5698400
2020-02-11,8.500000,8.560000,8.480000,8.540000,6.447185,10879400
2020-02-12,8.540000,8.650000,8.410000,8.460000,6.386790,15380500
2020-02-13,8.480000,8.500000,8.440000,8.460000,6.386790,7950000
2020-02-14,8.440000,8.520000,8.420000,8.470000,6.394340,6152900
2020-02-17,8.470000,8.500000,8.470000,8.490000,6.409438,3413200
2020-02-18,8.490000,8.510000,8.460000,8.470000,6.394340,7876600
2020-02-19,8.490000,8.490000,8.380000,8.400000,6.341494,7351200
2020-02-20,8.460000,8.480000,8.400000,8.420000,6.356593,6472500
2020-02-21,8.400000,8.440000,8.400000,8.410000,6.349043,5112800
2020-02-24,8.380000,8.390000,8.180000,8.200000,6.190506,31879200
2020-02-25,8.200000,8.310000,8.190000,8.280000,6.250901,9919800
2020-02-26,8.260000,8.410000,8.230000,8.330000,6.288648,13805600
2020-02-27,8.350000,8.530000,8.340000,8.520000,6.432086,10516600
2020-02-28,8.470000,8.490000,8.390000,8.420000,6.356593,21388000
2020-03-02,8.350000,8.430000,8.140000,8.390000,6.333945,19116200
2020-03-03,8.420000,8.450000,8.330000,8.410000,6.349043,13108500
2020-03-04,8.410000,8.500000,8.390000,8.470000,6.394340,12396400
2020-03-05,8.480000,8.540000,8.480000,8.530000,6.439635,12099700
2020-03-06,8.480000,8.530000,8.440000,8.500000,6.416987,10325900
2020-03-09,8.440000,8.470000,8.230000,8.240000,6.220704,16192400
2020-03-10,8.200000,8.440000,8.200000,8.370000,6.318845,18280300
2020-03-11,8.370000,8.450000,8.310000,8.390000,6.333945,11597700
2020-03-12,8.340000,8.360000,8.250000,8.280000,6.250901,16420700
2020-03-13,8.280000,8.280000,8.280000,8.280000,6.250901,0
2020-03-16,7.700000,7.700000,7.100000,7.290000,5.503510,45554700
2020-03-17,7.080000,7.490000,7.000000,7.360000,5.556357,28858800
2020-03-18,7.360000,7.500000,7.200000,7.260000,5.480862,23446600
2020-03-19,7.190000,7.240000,7.020000,7.080000,5.344973,23988500
2020-03-20,7.090000,7.550000,7.080000,7.510000,5.669597,22601000
2020-03-23,7.200000,7.320000,7.110000,7.120000,5.375171,18596500
2020-03-24,7.200000,7.340000,7.200000,7.300000,5.511061,14441000
2020-03-25,7.400000,7.460000,7.200000,7.300000,5.511061,14453800
2020-03-26,7.430000,7.430000,7.260000,7.270000,5.488412,13453200
2020-03-27,7.340000,7.420000,7.320000,7.370000,5.563905,15861300
2020-03-30,7.350000,7.350000,7.300000,7.310000,5.518610,10944500
2020-03-31,7.350000,7.500000,7.340000,7.450000,5.624301,14393100
2020-04-01,7.450000,7.460000,7.320000,7.320000,5.526159,15024600
2020-04-02,7.310000,7.370000,7.300000,7.340000,5.541257,9883600
2020-04-03,7.350000,7.420000,7.340000,7.400000,5.586554,6937700
2020-04-06,7.400000,7.680000,7.400000,7.650000,5.775289,6529300
2020-04-07,7.780000,7.920000,7.780000,7.830000,5.911178,14042800
2020-04-08,7.880000,7.920000,7.800000,7.870000,5.941376,7979700
2020-04-09,7.900000,7.940000,7.880000,7.900000,5.964024,9053200
2020-04-10,7.550000,7.550000,7.440000,7.500000,5.956082,3199500
2020-04-13,7.500000,7.500000,7.370000,7.450000,5.916375,3697500
2020-04-14,7.440000,7.580000,7.420000,7.580000,6.019615,5095200
2020-04-15,7.580000,7.680000,7.550000,7.640000,6.067262,7220700
2020-04-16,7.620000,7.630000,7.570000,7.580000,6.019615,9129900
2020-04-17,7.610000,7.740000,7.610000,7.700000,6.114912,5773400
2020-04-20,7.730000,7.760000,7.690000,7.690000,6.106970,7327600
2020-04-21,7.670000,7.670000,7.560000,7.560000,6.003731,4959100
2020-04-22,7.530000,7.530000,7.400000,7.500000,5.956082,8617300
2020-04-23,7.520000,7.560000,7.420000,7.420000,5.892551,7702100
2020-04-24,7.440000,7.450000,7.360000,7.360000,5.844903,7651200
2020-04-27,7.400000,7.440000,7.380000,7.400000,5.876668,3110600
2020-04-28,7.380000,7.400000,7.350000,7.360000,5.844903,7867700
2020-04-29,7.360000,7.500000,7.360000,7.410000,5.884610,3739500
2020-04-30,7.450000,7.600000,7.450000,7.570000,6.011673,7502800
2020-05-04,7.500000,7.500000,7.350000,7.380000,5.860785,7092400
2020-05-05,7.400000,7.570000,7.400000,7.480000,5.940199,3949500
2020-05-06,7.500000,7.560000,7.410000,7.410000,5.884610,5791800
2020-05-08,7.400000,7.460000,7.400000,7.410000,5.884610,7307200
2020-05-12,7.410000,7.470000,7.410000,7.440000,5.908434,5221600
2020-05-13,7.440000,7.450000,7.390000,7.390000,5.868726,5626200
2020-05-14,7.400000,7.440000,7.380000,7.400000,5.876668,4223000
2020-05-15,7.420000,7.470000,7.400000,7.400000,5.876668,2744800
2020-05-18,7.420000,7.480000,7.410000,7.410000,5.884610,3750500
2020-05-19,7.480000,7.520000,7.450000,7.450000,5.916375,5307600
2020-05-20,7.480000,7.520000,7.450000,7.490000,5.948141,2983300
2020-05-21,7.500000,7.660000,7.500000,7.510000,5.964024,6725100
2020-05-22,7.520000,7.560000,7.420000,7.430000,5.900492,7050300
2020-05-27,7.410000,7.450000,7.380000,7.400000,5.876668,11075300
2020-05-28,7.400000,7.420000,7.380000,7.410000,5.884610,7071200
2020-05-29,7.400000,7.530000,7.390000,7.500000,5.956082,15319500
2020-06-02,7.500000,7.500000,7.500000,7.500000,5.956082,0
2020-06-03,7.530000,8.000000,7.530000,7.980000,6.337272,14943700
2020-06-04,8.080000,8.200000,8.040000,8.190000,6.504042,14813700
2020-06-05,8.150000,8.150000,7.970000,8.080000,6.416686,10096100
2020-06-09,8.200000,8.200000,8.110000,8.200000,6.511983,10902800
2020-06-10,8.190000,8.200000,8.130000,8.200000,6.511983,6303700
2020-06-11,8.200000,8.200000,7.900000,8.080000,6.416686,8404400
2020-06-12,7.800000,7.930000,7.700000,7.910000,6.281681,7357500
2020-06-15,7.890000,7.900000,7.700000,7.700000,6.114912,8645100
2020-06-16,7.790000,7.850000,7.760000,7.760000,6.162560,5872200
2020-06-17,7.840000,7.840000,7.710000,7.770000,6.170501,3461600
2020-06-18,7.750000,7.780000,7.680000,7.710000,6.122853,7326300
2020-06-19,7.700000,7.730000,7.660000,7.660000,6.083145,13773900
2020-06-22,7.650000,7.680000,7.610000,7.660000,6.083145,3017900
2020-06-23,7.680000,7.700000,7.620000,7.650000,6.075204,2944200
2020-06-24,7.660000,7.660000,7.610000,7.640000,6.067262,3123300
2020-06-25,7.610000,7.630000,7.600000,7.610000,6.043438,3365800
2020-06-26,7.620000,7.650000,7.610000,7.620000,6.051380,2401700
2020-06-29,7.610000,7.610000,7.510000,7.530000,5.979907,4659600
2020-06-30,7.530000,7.610000,7.510000,7.510000,5.964024,6573800
2020-07-01,7.520000,7.550000,7.510000,7.520000,5.971965,3576800
2020-07-02,7.520000,7.700000,7.520000,7.620000,6.051380,6605800
2020-07-03,7.680000,7.770000,7.660000,7.710000,6.122853,2723100
2020-07-06,7.700000,7.830000,7.700000,7.830000,6.218150,3257200
2020-07-07,7.830000,7.890000,7.750000,7.820000,6.210209,9486000
2020-07-08,7.800000,7.940000,7.770000,7.910000,6.281681,9804700
2020-07-09,7.920000,7.980000,7.840000,7.910000,6.281681,10696600
2020-07-10,7.890000,7.950000,7.830000,7.900000,6.273740,6078800
2020-07-13,7.900000,7.930000,7.850000,7.890000,6.265798,4397900
2020-07-14,7.890000,7.910000,7.810000,7.860000,6.241974,5999400
2020-07-15,7.870000,7.950000,7.850000,7.910000,6.281681,9014100
2020-07-16,7.880000,7.900000,7.810000,7.820000,6.210209,4360000
2020-07-17,7.780000,7.960000,7.780000,7.940000,6.305506,7163200
2020-07-20,7.940000,7.940000,7.800000,7.820000,6.210209,5518900
2020-07-21,7.820000,7.900000,7.820000,7.860000,6.241974,4504900
2020-07-22,7.850000,7.890000,7.830000,7.850000,6.234033,4646400
2020-07-23,7.870000,7.890000,7.830000,7.880000,6.257857,4591200
2020-07-24,7.880000,7.880000,7.830000,7.850000,6.234033,5217600
2020-07-27,7.850000,7.890000,7.810000,7.820000,6.210209,2036300
2020-07-28,7.820000,7.850000,7.810000,7.830000,6.218150,5557800
2020-07-29,7.830000,7.870000,7.710000,7.750000,6.154618,5624300
2020-07-30,7.750000,7.780000,7.580000,7.670000,6.091087,9110600
2020-08-03,7.500000,7.660000,7.500000,7.500000,5.956082,7286000
2020-08-04,7.520000,7.610000,7.500000,7.500000,5.956082,5739200
2020-08-05,7.510000,7.520000,7.470000,7.470000,5.932258,6276000
2020-08-06,7.520000,7.550000,7.500000,7.520000,5.971965,3470300
2020-08-07,7.520000,7.600000,7.500000,7.500000,5.956082,2387300
2020-08-10,7.510000,7.580000,7.500000,7.520000,5.971965,3426100
2020-08-11,7.500000,7.600000,7.490000,7.490000,5.948141,3940900
2020-08-12,7.490000,7.700000,7.490000,7.650000,6.075204,2810400
2020-08-13,7.740000,7.830000,7.730000,7.800000,6.194325,4028300
2020-08-14,7.810000,7.850000,7.770000,7.800000,6.194325,5374400
2020-08-17,7.800000,7.870000,7.800000,7.810000,6.202267,4072400
2020-08-18,7.810000,7.840000,7.590000,7.630000,6.059321,5324700
2020-08-19,7.650000,7.690000,7.610000,7.640000,6.067262,4711800
2020-08-21,7.600000,7.600000,7.500000,7.550000,5.995790,4917800
2020-08-24,7.550000,7.580000,7.470000,7.480000,5.940199,11833900
2020-08-25,7.490000,7.530000,7.480000,7.490000,5.948141,7024600
2020-08-26,7.520000,7.550000,7.450000,7.460000,5.924316,9398600
2020-08-27,7.460000,7.490000,7.370000,7.460000,5.924316,12367300
2020-08-28,7.450000,7.460000,7.330000,7.330000,5.821078,15702900
2020-09-01,7.350000,7.380000,7.130000,7.130000,5.662249,19526600
2020-09-02,7.140000,7.270000,7.140000,7.250000,5.757546,7398100
2020-09-03,7.260000,7.260000,7.200000,7.210000,5.725780,4961000
2020-09-04,7.200000,7.230000,7.160000,7.210000,5.725780,6149300
2020-09-07,7.210000,7.280000,7.210000,7.260000,5.765487,1429400
2020-09-08,7.260000,7.500000,7.230000,7.500000,5.956082,5498200
2020-09-09,7.340000,7.450000,7.260000,7.450000,5.916375,4626500
2020-09-10,7.400000,7.500000,7.330000,7.500000,5.956082,5789800
2020-09-11,7.440000,7.480000,7.300000,7.450000,5.916375,3209500
2020-09-14,7.440000,7.440000,7.280000,7.280000,5.781371,4748400
2020-09-15,7.280000,7.500000,7.280000,7.500000,5.956082,3871600
2020-09-17,7.500000,7.500000,7.330000,7.370000,5.852843,3104800
2020-09-18,7.360000,7.400000,7.210000,7.210000,5.725780,17629700
2020-09-21,7.230000,7.250000,7.190000,7.190000,5.709898,6548200
2020-09-22,7.190000,7.250000,7.190000,7.200000,5.717839,5544200
2020-09-23,7.210000,7.230000,7.150000,7.170000,5.694015,5249800
2020-09-24,7.200000,7.210000,7.090000,7.090000,5.630483,9661400
2020-09-25,7.120000,7.150000,7.080000,7.080000,5.622542,4508000
2020-09-28,7.100000,7.140000,7.080000,7.100000,5.638424,6190600
2020-09-29,7.120000,7.250000,7.110000,7.160000,5.686073,6187200
2020-09-30,7.190000,7.230000,7.150000,7.220000,5.733722,4470000
2020-10-01,7.210000,7.220000,7.120000,7.180000,5.701956,2775500
2020-10-02,7.170000,7.170000,7.100000,7.110000,5.646366,3509900
2020-10-05,7.110000,7.180000,7.110000,7.120000,5.654307,3981700
2020-10-06,7.130000,7.210000,7.130000,7.190000,5.709898,4820300
2020-10-07,7.190000,7.200000,7.100000,7.100000,5.638424,5831100
2020-10-08,7.170000,7.300000,7.110000,7.300000,5.797254,3918200
2020-10-09,7.260000,7.400000,7.200000,7.400000,5.876668,4985700
2020-10-12,7.370000,7.380000,7.240000,7.350000,5.836960,3319800
2020-10-13,7.300000,7.390000,7.250000,7.350000,5.836960,2713500
2020-10-14,7.350000,7.350000,7.240000,7.240000,5.749605,5620800
2020-10-15,7.240000,7.270000,7.200000,7.210000,5.725780,3230200
2020-10-16,7.220000,7.230000,7.150000,7.150000,5.678132,4176100
2020-10-19,7.150000,7.280000,7.150000,7.200000,5.717839,2292300
2020-10-20,7.210000,7.280000,7.180000,7.180000,5.701956,2320300
2020-10-21,7.240000,7.240000,7.150000,7.150000,5.678132,6517500
2020-10-22,7.160000,7.170000,7.060000,7.060000,5.606659,17817000
2020-10-23,7.080000,7.130000,7.070000,7.080000,5.622542,3756300
2020-10-26,7.090000,7.110000,7.070000,7.080000,5.622542,2877600
2020-10-27,7.080000,7.110000,7.070000,7.070000,5.614601,5987300
2020-10-28,7.080000,7.100000,7.060000,7.070000,5.614601,2926000
2020-10-30,7.070000,7.090000,7.000000,7.000000,5.559010,8677900
2020-11-02,7.000000,7.030000,6.960000,7.010000,5.566952,4829300
2020-11-03,7.010000,7.040000,6.970000,7.000000,5.559010,6801700
2020-11-04,7.020000,7.090000,6.990000,7.000000,5.559010,2220100
2020-11-05,7.030000,7.080000,7.020000,7.080000,5.622542,4913900
2020-11-06,7.080000,7.190000,7.060000,7.180000,5.701956,5184100
2020-11-09,7.180000,7.260000,7.070000,7.120000,5.654307,4107900
2020-11-10,7.230000,7.660000,7.230000,7.660000,6.083145,30397300
2020-11-11,7.660000,7.690000,7.450000,7.690000,6.106970,11143500
2020-11-12,7.680000,7.850000,7.600000,7.800000,6.194325,17048000
2020-11-13,7.750000,7.930000,7.660000,7.930000,6.297564,10653600
2020-11-16,7.930000,8.150000,7.830000,8.140000,6.464335,12784100
