Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,6.85,6.88,6.84,6.86,3.000736,3049400
1/5/2010,6.89,6.96,6.89,6.9,3.018232,8532800
1/6/2010,6.91,6.96,6.88,6.9,3.018232,7817200
1/7/2010,6.89,6.91,6.88,6.88,3.009484,8194400
1/8/2010,6.93,6.93,6.87,6.92,3.026981,5917000
1/11/2010,6.92,6.92,6.87,6.89,3.013858,6003500
1/12/2010,6.88,6.89,6.87,6.89,3.013858,3805000
1/13/2010,6.89,6.89,6.84,6.87,3.005109,7110500
1/14/2010,6.87,6.91,6.85,6.89,3.013858,4392800
1/15/2010,6.89,6.91,6.85,6.91,3.022606,4168100
1/18/2010,6.88,6.92,6.87,6.88,3.009484,3496400
1/19/2010,6.88,6.9,6.87,6.88,3.009484,6641400
1/20/2010,6.89,6.95,6.88,6.89,3.013858,12815800
1/21/2010,6.89,7,6.89,6.98,3.053226,8332500
1/22/2010,6.95,6.95,6.9,6.91,3.022606,9201400
1/25/2010,6.9,6.9,6.3,6.9,3.018232,2087000
1/26/2010,6.9,6.92,6.77,6.85,2.996361,8367400
1/27/2010,6.82,6.83,6.7,6.82,2.983238,8123100
1/28/2010,6.82,6.82,6.78,6.8,2.97449,8378900
1/29/2010,6.77,6.81,6.73,6.77,2.961367,6730400
2/2/2010,6.85,6.92,6.8,6.8,2.97449,6023300
2/3/2010,6.84,6.9,6.8,6.8,2.97449,5012800
2/4/2010,6.9,6.91,6.83,6.89,3.013858,7833200
2/5/2010,6.79,6.84,6.78,6.81,2.978863,9436100
2/8/2010,6.77,6.77,6.7,6.72,2.939495,14098300
2/9/2010,6.67,6.74,6.62,6.72,2.939495,8446700
2/10/2010,6.8,6.86,6.79,6.84,2.991987,9812700
2/11/2010,6.84,6.84,6.8,6.83,2.987613,3483700
2/12/2010,6.84,6.91,6.83,6.9,3.018232,6036200
2/17/2010,6.93,6.96,6.87,6.89,3.013858,13752700
2/18/2010,6.93,6.95,6.86,6.89,3.013858,8916900
2/19/2010,6.89,6.92,6.86,6.89,3.013858,9474200
2/22/2010,6.92,6.96,6.92,6.96,3.044477,11287100
2/23/2010,6.95,7,6.94,6.98,3.053226,9050200
2/24/2010,6.97,6.99,6.97,6.97,3.048852,8848800
2/25/2010,6.99,7,6.97,6.97,3.048852,11601400
3/1/2010,7,7.05,6.98,7.03,3.075097,13330500
3/2/2010,6.99,7.05,6.95,7,3.110647,12160900
3/3/2010,7.02,7.03,6.95,6.98,3.10176,12326800
3/4/2010,7.01,7.07,6.99,7.01,3.115092,16705400
3/5/2010,7.06,7.46,7.06,7.4,3.288399,29102400
3/8/2010,7.5,7.65,7.47,7.53,3.346168,30108400
